Contract ID,Project ID,Contract Name,Contract Date,Contract Amount,Contract Status,,,,,
H001,P001,Greentown Outdoor Advertising Design Contract,2011/08/02,136162,Canceled,,,,,
H002,P002,Ronshine Billboard Installation Contract,2014/04/02,90787,Terminated,,,,,
H003,P003,Poly Exhibition Booth Setup Contract,2022/02/13,130120,Completed,,,,,
H004,P004,Jiangshan Branding Design Contract,2015/05/17,54972,Canceled,,,,,
H005,P005,China Resources Event Promotion Planning Contract,2008/05/21,96081,Terminated,,,,,
H006,P006,United Property Signage Design Contract,2024/08/22,70754,In Progress,,,,,
H007,P007,Poly Advertising Campaign Contract,2019/11/09,104595,In Progress,,,,,
H008,P008,Yinyi Advertising Board Maintenance Contract,2024/03/04,95133,In Progress,,,,,
H009,P009,Intime Seasonal Promotion Planning Contract,2007/02/18,99989,Canceled,,,,,
H010,P010,C&D Neighborhood Event Organization Contract,2012/02/07,56011,Terminated,,,,,
H011,P011,Greentown Billboard Installation Contract,2021/11/01,72309,Completed,,,,,
H012,P012,Ronshine Seasonal Promotion Planning Contract,2016/11/11,66397,Canceled,,,,,
H013,P013,Poly Neighborhood Event Organization Contract,2020/04/16,130890,Terminated,,,,,
H014,P014,Jiangshan Outdoor Advertising Design Contract,2017/07/24,80264,Canceled,,,,,
H015,P015,China Resources Branding Design Contract,2006/10/06,80307,Terminated,,,,,
H016,P016,United Exhibition Booth Setup Contract,2006/12/26,62544,In Progress,,,,,
H017,P017,Poly Event Promotion Planning Contract,2014/10/21,53208,Canceled,,,,,
H018,P018,Yinyi Property Signage Design Contract,2008/11/20,87207,Completed,,,,,
H019,P019,Intime Billboard Installation Contract,2012/10/23,81295,Completed,,,,,
H020,P020,C&D Branding Design Contract,2009/03/02,97083,Canceled,,,,,
H021,P021,Greentown Exhibition Booth Setup Contract,2024/10/19,101883,In Progress,,,,,
H022,P022,Ronshine Event Promotion Planning Contract,2022/12/18,144240,Terminated,,,,,
H023,P023,Poly Advertising Board Maintenance Contract,2023/11/07,75501,In Progress,,,,,
H024,P024,Jiangshan Neighborhood Event Organization Contract,2024/06/13,95601,Canceled,,,,,
H025,P025,China Resources Seasonal Promotion Planning Contract,2024/10/25,59943,Completed,,,,,
H026,P026,United Billboard Installation Contract,2017/01/12,113892,In Progress,,,,,
H027,P027,Poly Branding Design Contract,2020/07/13,122165,In Progress,,,,,
H028,P028,Yinyi Exhibition Booth Setup Contract,2006/11/16,75045,Terminated,,,,,
H029,P029,Intime Event Promotion Planning Contract,2014/11/15,128842,Canceled,,,,,
H030,P030,C&D Property Signage Design Contract,2020/03/06,129672,Canceled,,,,,
H031,P031,Greentown Seasonal Promotion Planning Contract,2012/12/16,136955,In Progress,,,,,
H032,P032,Ronshine Branding Design Contract,2009/12/06,100410,Completed,,,,,
H033,P033,Poly Billboard Installation Contract,2011/07/04,125647,Completed,,,,,
H034,P034,Jiangshan Exhibition Booth Setup Contract,2010/02/19,59038,Terminated,,,,,
H035,P035,China Resources Advertising Campaign Contract,2013/02/15,92493,Canceled,,,,,
H036,P036,United Neighborhood Event Organization Contract,2016/02/24,86315,Terminated,,,,,
H037,P037,Poly Property Signage Design Contract,2019/03/24,89815,Completed,,,,,
H038,P038,Yinyi Seasonal Promotion Planning Contract,2020/04/28,53538,Terminated,,,,,
H039,P039,Intime Advertising Board Maintenance Contract,2009/01/16,105506,Completed,,,,,
H040,P040,C&D Billboard Installation Contract,2012/05/05,97674,Canceled,,,,,
H041,P041,Greentown Branding Design Contract,2016/08/09,112638,In Progress,,,,,
H042,P042,Ronshine Outdoor Advertising Design Contract,2013/06/15,146751,Completed,,,,,
H043,P043,Poly Event Promotion Planning Contract,2023/07/10,52152,In Progress,,,,,
H044,P044,Jiangshan Seasonal Promotion Planning Contract,2020/10/09,72366,Canceled,,,,,
H045,P045,China Resources Neighborhood Event Organization Contract,2015/01/08,87448,Terminated,,,,,
